"longitude","latitude","reconstruction_log_probability","percentile"
11.17765369,54.64932413,-5.54359436035156,"0-25"
10.97765369,55.54932413,-5.26968288421631,"25-50"
11.27765369,57.24932413,-5.56793689727783,"0-25"
14.57765369,55.24932413,-8.59974098205566,"0-25"
11.37765369,57.44932413,-8.45093536376953,"0-25"
16.17765369,54.54932413,-5.55089235305786,"0-25"
15.07765369,54.14932413,-5.75429725646973,"0-25"
14.47765369,55.24932413,-7.64899635314941,"0-25"
11.27765369,57.34932413,-6.83483219146729,"0-25"
14.67765369,55.34932413,-7.38091850280762,"0-25"
14.07765369,55.24932413,-5.68086290359497,"0-25"
14.87765369,55.24932413,-5.32272863388062,"25-50"
19.87765369,54.74932413,-5.40227794647217,"0-25"
17.97765369,55.04932413,-5.69879627227783,"0-25"
18.57765369,54.84932413,-7.38156890869141,"0-25"
17.77765369,55.64932413,-8.27888870239258,"0-25"
17.87765369,54.94932413,-5.7449312210083,"0-25"
17.97765369,55.14932413,-6.07975435256958,"0-25"
18.37765369,54.94932413,-5.79730319976807,"0-25"
17.77765369,54.94932413,-5.57041120529175,"0-25"
17.87765369,55.04932413,-5.96284866333008,"0-25"
16.77765369,56.44932413,-7.29940605163574,"0-25"
14.67765369,55.94932413,-6.87365531921387,"0-25"
17.87765369,55.14932413,-6.22597932815552,"0-25"
16.67765369,56.44932413,-6.82812738418579,"0-25"
15.77765369,55.64932413,-10.5376482009888,"0-25"
18.57765369,54.54932413,-6.10883712768555,"0-25"
17.77765369,55.14932413,-6.34095048904419,"0-25"
18.17765369,56.24932413,-5.14995813369751,"25-50"
17.67765369,55.14932413,-6.14166021347046,"0-25"
14.57765369,55.94932413,-6.98197221755981,"0-25"
16.07765369,54.74932413,-6.21009540557861,"0-25"
14.47765369,55.94932413,-6.91406583786011,"0-25"
15.67765369,55.74932413,-5.89216804504395,"0-25"
15.57765369,56.04932413,-6.7140040397644,"0-25"
15.87765369,56.04932413,-6.76032400131226,"0-25"
15.77765369,55.94932413,-7.58143901824951,"0-25"
15.77765369,55.84932413,-5.44884204864502,"0-25"
15.87765369,55.94932413,-6.72526407241821,"0-25"
16.67765369,56.34932413,-5.39297389984131,"0-25"
15.47765369,56.04932413,-6.75599145889282,"0-25"
15.97765369,56.04932413,-6.82359838485718,"0-25"
12.67765369,55.64932413,-8.69828605651855,"0-25"
16.37765369,55.94932413,-5.7781023979187,"0-25"
16.57765369,56.24932413,-5.04524755477905,"25-50"
16.47765369,56.14932413,-6.57767677307129,"0-25"
16.17765369,56.14932413,-6.69656372070312,"0-25"
16.07765369,56.24932413,-6.53244256973267,"0-25"
16.17765369,56.34932413,-5.03996610641479,"25-50"
16.57765369,54.84932413,-2.75478434562683,"75-100"
20.07765369,55.44932413,-3.51285600662231,"50-75"
14.17765369,54.34932413,-4.60655403137207,"25-50"
14.07765369,54.34932413,-4.86472988128662,"25-50"
14.17765369,54.44932413,-4.51706504821777,"25-50"
13.97765369,54.34932413,-4.87529993057251,"25-50"
14.27765369,54.54932413,-4.56547403335571,"25-50"
14.37765369,54.44932413,-2.78306794166565,"75-100"
14.27765369,54.44932413,-4.40869426727295,"25-50"
14.07765369,54.24932413,-5.16604852676392,"25-50"
14.27765369,54.34932413,-4.51351404190063,"25-50"
14.17765369,54.24932413,-4.98276710510254,"25-50"
16.47765369,54.84932413,-2.84272527694702,"75-100"
14.37765369,54.34932413,-2.80961227416992,"75-100"
14.17765369,54.14932413,-3.8537802696228,"50-75"
13.97765369,54.54932413,-4.76766204833984,"25-50"
17.37765369,54.94932413,-2.88207244873047,"75-100"
17.17765369,54.94932413,-2.78981137275696,"75-100"
17.27765369,54.94932413,-2.87695384025574,"75-100"
16.57765369,54.94932413,-2.69652676582336,"75-100"
14.57765369,54.54932413,-3.01144027709961,"75-100"
14.57765369,54.34932413,-2.96123218536377,"75-100"
20.17765369,55.44932413,-3.16914582252502,"75-100"
14.47765369,54.24932413,-2.93420076370239,"75-100"
14.37765369,54.14932413,-3.41395020484924,"50-75"
14.37765369,54.24932413,-3.00623989105225,"75-100"
14.27765369,54.24932413,-3.19125509262085,"75-100"
14.27765369,54.14932413,-3.44178509712219,"50-75"
14.27765369,54.04932413,-3.29415011405945,"75-100"
